Brands, Product Name, Shipping details
GIGABYTE,GIGABYTE GeForce GTX 1080 Ti DirectX 12 GV-N108TGAMING OC-11GD Video Card,$4.99 Shipping
MSI,MSI GeForce GTX 1080 Ti DirectX 12 GTX 1080 Ti DUKE 11G OC Video Card,$4.99 Shipping
ASUS,ASUS ROG GeForce GTX 1080 Ti DirectX 12 STRIX-GTX1080TI-11G-GAMING Video Card,Free Shipping
ZOTAC,ZOTAC GeForce GTX 1080 Ti AMP Edition 11GB GDDR5X 352-bit Gaming Graphics Card VR Ready 16+2 Power Phase Freeze Fan Stop IceStorm Cooling Spectra Lighting ZT-P10810D-10P,$4.99 Shipping
EVGA,EVGA GeForce GTX 1080 Ti SC Black Edition GAMING 11G-P4-6393-KR 11GB GDDR5X iCX Cooler & LED,$4.99 Shipping
EVGA,EVGA GeForce GTX 1050 Ti GAMING 04G-P4-6251-KR 4GB GDDR5 DX12 OSD Support (PXOC),$4.99 Shipping
XFX,XFX Radeon RX 550 DirectX 12 RX-550P2TFG5 Video Card,$3.99 Shipping
MSI,MSI Radeon RX 550 DirectX 12 RX 550 AERO ITX 2G O 2GB 128-Bit GDDR5 PCI Express x16 (uses x8) HDCP Ready Video Card,$3.99 Shipping
ASUS,ASUS ROG Strix GeForce GTX 1080 8GB 11Gbps OC Edition VR Ready HDMI DP DVI Gaming Graphics Card (ROG-STRIX-GTX1080-O8G-11GPBS),$4.99 Shipping
ZOTAC,ZOTAC GeForce GTX 1050 Ti DirectX 12 ZT-P10510A-10L Video Card,$4.99 Shipping
XFX,XFX Radeon RX 460 True OC DirectX 12 RX-460P2SFG5 2GB 128-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Card,$3.99 Shipping
